Customer_id,Gender,Age,City,Order_id,Order_date,Restaurant_name,Dish_Name,Category,Quantity,Price,Payment_method,Order_frequency,Churned,Rating,Delivery_status
C6687,OTHER,Adult,Islamabad,O10687,09-01-2023,KFC,Pasta,Italian,3,101.29,Wallet,28,Inactive,3,Delivered
C3733,MALE,Adult,Multan,O7733,09-01-2023,Burger King,Sandwich,Continental,4,172.76,Wallet,23,Inactive,5,Delivered
C5566,OTHER,Teenager,Islamabad,O9566,09-01-2023,Subway,Pasta,Dessert,5,362.35,Cash,23,Active,5,Delayed
C3775,OTHER,Adult,Multan,O7775,09-01-2023,Burger King,Fries,Chinese,2,388.86,Cash,31,Inactive,3,Cancelled
C3210,OTHER,Teenager,Karachi,O7210,09-01-2023,Burger King,Pasta,Fast Food,2,528.24,Cash,24,Inactive,4,Delayed
C2375,FEMALE,Teenager,Peshawar,O6375,09-01-2023,McDonald's,Burger,Continental,3,716.53,Card,3,Inactive,1,Cancelled
C3484,MALE,Senior,Peshawar,O7484,09-01-2023,Subway,Pasta,Fast Food,3,1135.18,Cash,2,Active,2,Cancelled
C3779,MALE,Senior,Peshawar,O7779,10-01-2023,Pizza Hut,Sandwich,Fast Food,4,274.84,Wallet,22,Inactive,3,Delivered
C1871,MALE,Adult,Multan,O5871,10-01-2023,KFC,Fries,Chinese,4,539.86,Wallet,28,Active,4,Delayed
C1852,OTHER,Teenager,Multan,O5852,10-01-2023,KFC,Pasta,Chinese,2,558.34,Wallet,40,Inactive,2,Cancelled
C4588,FEMALE,Adult,Karachi,O8588,10-01-2023,Burger King,Pasta,Continental,3,602.79,Card,29,Active,2,Delayed
C1310,OTHER,Adult,Multan,O5310,10-01-2023,KFC,Fries,Chinese,1,689.59,Wallet,32,Inactive,1,Delayed
C4910,OTHER,Senior,Multan,O8910,10-01-2023,Burger King,Burger,Italian,3,1456.76,Wallet,43,Inactive,3,Cancelled
C1888,OTHER,Adult,Multan,O5888,10-01-2023,KFC,Pasta,Chinese,5,1472.72,Wallet,49,Active,4,Delayed
C2822,MALE,Adult,Peshawar,O6822,11-01-2023,Burger King,Sandwich,Italian,2,211,Wallet,10,Active,4,Delivered
C3972,FEMALE,Adult,Multan,O7972,11-01-2023,Pizza Hut,Burger,Fast Food,1,618.05,Cash,33,Inactive,4,Delivered
C4610,MALE,Teenager,Karachi,O8610,11-01-2023,McDonald's,Burger,Dessert,3,732.93,Cash,31,Inactive,2,Cancelled
C6137,FEMALE,Senior,Islamabad,O10137,11-01-2023,Burger King,Pizza,Fast Food,2,789.22,Card,48,Inactive,1,Cancelled
C1851,FEMALE,Adult,Peshawar,O5851,11-01-2023,Burger King,Fries,Chinese,1,805.06,Card,23,Inactive,4,Cancelled
C6734,OTHER,Teenager,Peshawar,O10734,11-01-2023,Pizza Hut,Burger,Dessert,4,1001.16,Card,37,Inactive,1,Delivered
C4839,OTHER,Adult,Islamabad,O8839,11-01-2023,Subway,Pizza,Continental,3,1120.67,Wallet,20,Active,1,Delayed
C6599,MALE,Senior,Karachi,O10599,11-01-2023,KFC,Sandwich,Fast Food,3,1405.54,Wallet,5,Active,2,Delivered
C3090,MALE,Adult,Karachi,O7090,11-01-2023,Burger King,Burger,Continental,3,1431.66,Cash,48,Inactive,4,Cancelled
C1365,FEMALE,Senior,Multan,O5365,12-01-2023,McDonald's,Burger,Dessert,5,117.17,Card,11,Active,4,Delivered
C3848,OTHER,Adult,Islamabad,O7848,12-01-2023,Burger King,Pasta,Fast Food,2,253.99,Card,12,Inactive,1,Delivered
C1913,OTHER,Adult,Karachi,O5913,12-01-2023,McDonald's,Pasta,Italian,1,255.52,Wallet,13,Active,1,Delivered
C1215,OTHER,Teenager,Islamabad,O5215,12-01-2023,Pizza Hut,Burger,Continental,3,260.02,Wallet,7,Inactive,2,Delivered
C1646,OTHER,Senior,Karachi,O5646,12-01-2023,Subway,Fries,Italian,5,358,Wallet,35,Active,2,Delivered
C1587,OTHER,Senior,Multan,O5587,12-01-2023,Pizza Hut,Fries,Continental,3,411.13,Card,19,Active,4,Delivered
C6963,MALE,Senior,Multan,O10963,12-01-2023,McDonald's,Burger,Italian,1,561.46,Cash,19,Inactive,1,Delayed
C2756,FEMALE,Senior,Lahore,O6756,12-01-2023,Subway,Pizza,Chinese,4,664.03,Wallet,5,Active,4,Delivered
C5130,OTHER,Senior,Lahore,O9130,12-01-2023,McDonald's,Pizza,Dessert,1,754.99,Wallet,48,Active,2,Cancelled
C1170,MALE,Teenager,Karachi,O5170,12-01-2023,Burger King,Burger,Italian,5,845.59,Cash,8,Active,1,Delivered
C2543,FEMALE,Senior,Lahore,O6543,12-01-2023,KFC,Pizza,Dessert,5,1029.5,Cash,15,Inactive,1,Delayed
